start.station.id,end.station.name,dia.llegada,mes.llegada,año.llegada,Numero.viajes
3184,Columbus Dr at Exchange Pl,18,9,2020,2
3184,Columbus Dr at Exchange Pl,19,9,2019,3
3184,Columbus Dr at Exchange Pl,19,9,2020,2
3184,Columbus Dr at Exchange Pl,21,9,2019,3
3184,Columbus Dr at Exchange Pl,21,9,2020,1
3184,Columbus Dr at Exchange Pl,22,9,2019,1
3184,Columbus Dr at Exchange Pl,22,9,2020,1
3184,Columbus Dr at Exchange Pl,23,9,2019,1
3184,Columbus Dr at Exchange Pl,23,9,2020,1
3184,Columbus Dr at Exchange Pl,24,9,2019,2
3184,Columbus Dr at Exchange Pl,24,9,2020,1
3184,Columbus Dr at Exchange Pl,25,9,2019,2
3184,Columbus Dr at Exchange Pl,25,9,2020,2
3184,Columbus Dr at Exchange Pl,26,9,2019,1
3184,Columbus Dr at Exchange Pl,26,9,2020,2
3184,Columbus Dr at Exchange Pl,27,9,2019,3
3184,Columbus Dr at Exchange Pl,27,9,2020,2
3184,Columbus Dr at Exchange Pl,28,9,2019,1
3184,Columbus Dr at Exchange Pl,28,9,2020,6
3184,Columbus Dr at Exchange Pl,29,9,2020,1
3184,Columbus Dr at Exchange Pl,30,9,2019,1
3184,Columbus Dr at Exchange Pl,30,9,2020,2
3184,Columbus Drive,1,9,2019,2
3184,Columbus Drive,1,9,2020,1
3184,Columbus Drive,3,9,2019,3
3184,Columbus Drive,3,10,2020,1
3184,Columbus Drive,4,9,2019,3
3184,Columbus Drive,4,10,2020,1
3184,Columbus Drive,5,9,2019,2
3184,Columbus Drive,5,10,2020,1
3184,Columbus Drive,6,9,2019,2
3184,Columbus Drive,6,10,2020,1
3184,Columbus Drive,7,9,2019,1
3184,Columbus Drive,8,9,2020,1
3184,Columbus Drive,9,9,2019,2
3184,Columbus Drive,9,10,2020,2
3184,Columbus Drive,10,9,2019,2
3184,Columbus Drive,10,9,2020,2
3184,Columbus Drive,11,9,2019,3
3184,Columbus Drive,12,9,2019,1
3184,Columbus Drive,15,9,2019,1
3184,Columbus Drive,16,9,2019,3
3184,Columbus Drive,16,9,2020,1
3184,Columbus Drive,17,9,2019,2
3184,Columbus Drive,18,9,2020,1
3184,Columbus Drive,19,9,2019,3
3184,Columbus Drive,19,9,2020,1
3184,Columbus Drive,20,9,2020,1
3184,Columbus Drive,21,9,2019,1
3184,Columbus Drive,21,9,2020,1
3184,Columbus Drive,22,9,2020,1
3184,Columbus Drive,23,9,2019,1
3184,Columbus Drive,23,9,2020,2
3184,Columbus Drive,24,9,2019,2
3184,Columbus Drive,24,9,2020,2
3184,Columbus Drive,25,9,2019,2
3184,Columbus Drive,25,9,2020,1
3184,Columbus Drive,26,9,2019,1
3184,Columbus Drive,27,9,2019,1
3184,Columbus Drive,27,9,2020,1
3184,Columbus Drive,28,9,2019,1
3184,Columbus Drive,30,9,2019,1
3184,Communipaw & Berry Lane,3,9,2019,2
3184,Communipaw & Berry Lane,7,9,2019,2
3184,Communipaw & Berry Lane,7,10,2020,2
3184,Communipaw & Berry Lane,12,9,2020,1
3184,Communipaw & Berry Lane,16,9,2020,1
3184,Communipaw & Berry Lane,18,9,2020,1
3184,Communipaw & Berry Lane,20,9,2019,2
3184,Communipaw & Berry Lane,22,9,2019,2
3184,Communipaw & Berry Lane,22,9,2020,1
3184,Communipaw & Berry Lane,23,9,2020,1
3184,Communipaw & Berry Lane,29,9,2020,3
3184,Communipaw & Berry Lane,30,9,2019,1
3184,Dey St,12,9,2020,2
3184,Dey St,27,9,2020,1
3184,Dixon Mills,2,9,2020,1
3184,Dixon Mills,2,10,2020,1
3184,Dixon Mills,4,9,2020,1
3184,Dixon Mills,5,10,2020,2
3184,Dixon Mills,6,10,2020,5
3184,Dixon Mills,7,10,2020,1
3184,Dixon Mills,8,9,2020,1
3184,Dixon Mills,8,10,2020,1
3184,Dixon Mills,9,9,2020,1
3184,Dixon Mills,9,10,2020,2
3184,Dixon Mills,10,9,2019,1
3184,Dixon Mills,14,9,2020,1
3184,Dixon Mills,15,9,2020,1
3184,Dixon Mills,22,9,2020,1
3184,Dixon Mills,25,9,2019,1
3184,Dixon Mills,26,9,2020,1
3184,Dixon Mills,28,9,2019,1
3184,Dixon Mills,28,9,2020,1
3184,Dixon Mills,29,9,2019,2
3184,Essex Light Rail,2,9,2019,2
3184,Essex Light Rail,2,9,2020,1
3184,Essex Light Rail,4,9,2019,1
3184,Essex Light Rail,5,9,2019,1
3184,Essex Light Rail,6,9,2019,1
3184,Essex Light Rail,6,9,2020,1
3184,Essex Light Rail,6,10,2020,1
3184,Essex Light Rail,7,9,2019,4
3184,Essex Light Rail,10,9,2019,2
3184,Essex Light Rail,11,9,2020,2
3184,Essex Light Rail,12,9,2019,1
3184,Essex Light Rail,13,9,2019,1
3184,Essex Light Rail,14,9,2019,1
3184,Essex Light Rail,14,9,2020,1
3184,Essex Light Rail,15,9,2019,3
3184,Essex Light Rail,16,9,2019,4
3184,Essex Light Rail,18,9,2019,1
3184,Essex Light Rail,18,9,2020,1
3184,Essex Light Rail,20,9,2019,1
3184,Essex Light Rail,22,9,2019,1
3184,Essex Light Rail,22,9,2020,1
3184,Essex Light Rail,23,9,2020,1
3184,Essex Light Rail,24,9,2019,1
3184,Essex Light Rail,25,9,2019,1
3184,Essex Light Rail,27,9,2019,2
3184,Essex Light Rail,28,9,2020,1
3184,Essex Light Rail,30,9,2020,1
3184,Fairmount Ave,5,9,2020,1
3184,Fairmount Ave,9,9,2020,1
3184,Fairmount Ave,29,9,2019,1
3184,Glenwood Ave,3,9,2019,1
3184,Glenwood Ave,9,9,2020,1
3184,Glenwood Ave,10,9,2020,1
3184,Glenwood Ave,24,9,2020,1
3184,Glenwood Ave,29,9,2019,1
3184,Grand St,1,9,2019,1
3184,Grand St,1,9,2020,1
3184,Grand St,2,10,2020,1
3184,Grand St,3,9,2019,2
3184,Grand St,4,9,2019,1
3184,Grand St,4,9,2020,2
3184,Grand St,4,10,2020,1
3184,Grand St,5,10,2020,1
3184,Grand St,6,9,2020,1
3184,Grand St,7,9,2020,2
3184,Grand St,9,9,2019,2
3184,Grand St,11,9,2020,1
3184,Grand St,13,9,2019,1
3184,Grand St,14,9,2019,2
3184,Grand St,17,9,2019,2
3184,Grand St,17,9,2020,1
3184,Grand St,18,9,2020,3
3184,Grand St,19,9,2019,2
3184,Grand St,21,9,2019,3
3184,Grand St,22,9,2020,2
3184,Grand St,23,9,2019,1
3184,Grand St,23,9,2020,1
3184,Grand St,24,9,2019,2
3184,Grand St,25,9,2019,1
3184,Grand St,27,9,2019,2
3184,Grand St,28,9,2019,1
3184,Grand St,28,9,2020,2
3184,Grand St,29,9,2019,5
3184,Grand St,30,9,2019,6
3184,Grove St PATH,1,9,2020,2
